file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmbV1D5gzVtd9qxkAne2gC915YP1jRa4c6rFtBXJiopDpp_output.musicxml,244,5210,2070,5216,240,1513,135,112,32,23,165,98,149
QmbvAc5HPqQnhgCzUTXgrxkBkr1BLF5hwSaqFEbmZVSaFM_output.musicxml,131,2402,1172,2303,155,795,81,81,19,0,35,8,65
QmbvNdK6ZBumcfVby5A4xLHnFbmk5izT7T63j8CoiEXL7t_output.musicxml,302,722,617,657,196,558,125,70,14,0,8,8,48
QmbvpiesGpZ11Z5E2DVosZhMCUpcHNLjCcRFYmgeKTn38a_output.musicxml,253,2786,1730,2279,217,1735,117,51,14,6,66,44,75
QmbvSAsQz6dNTbMAnwqV4ZLUF6EdjK7aQVakqJnBmNXyD5_output.musicxml,101,2066,1007,2080,115,700,71,62,12,6,45,52,36
QmbwoKunZmGUYhaB63snKUJcd4qkRtWBSp3Cw5Bbshfqaj_output.musicxml,260,1364,910,935,203,907,112,52,8,3,15,0,58
QmbWPFbBJwgXz8pg5NEZsR1w1dCFdujUNNDpZ25b1F4y4S_output.musicxml,203,3258,1548,3027,222,1454,109,63,14,3,44,52,51
QmbWTTQKiQrVYQgMBNLuZp6kLYUuqU5b5t3dXXx7KoD3UF_output.musicxml,138,2316,1214,2237,137,803,80,61,14,5,30,28,51
QmbX9gRrBHjvkbMH8xhbePyYrUnDNjVVa7T5HTq966CYhe_output.musicxml,273,5212,2384,4995,286,1739,143,127,29,21,161,146,147
QmbxQes2w8YX4AGz7Er8LGppLtGiiJwmmWMTBeP1nMzyj7_output.musicxml,170,3770,1826,3625,218,1263,117,88,23,9,120,86,99
QmbYaavtirTxQMBZx2TFxgbZSPJ24cmGxZytAYdwXz6c1j_output.musicxml,89,1204,620,1032,81,371,53,35,9,2,13,4,33
QmbyLzCAJRH8LgyCz4AiwBxqGAgZhK8ZumMX2UX1Z7krhy_output.musicxml,131,546,393,384,90,375,51,28,4,0,20,4,37
QmbYNH8HjXh8a9E61jPJtSibjHL6XRMeSoZk6hy2hdPQFm_output.musicxml,133,2396,1226,2226,167,829,82,67,17,6,115,58,77
QmbZmDbmVAuf1iu5X6msyt6AYdiH5dhBXc5TUtwtX5Lsvy_output.musicxml,205,4042,2185,3504,198,1359,94,58,16,1,56,12,83
QmbZWBtrUnqUM84Wfh3CCUysieCY6xkg3aBkqvgj7DvQ18_output.musicxml,177,3518,1663,3348,220,1136,110,88,25,9,93,62,68
Qmc1JAC9gXBt9WKpujDEvsZ8qTkAeyrdEYPYCexnSLHocb_output.musicxml,75,1276,581,1162,71,539,42,29,9,0,10,12,20
Qmc1na6jbBFLNd2UAfHdTkP84YXPy7DzmLMgKWjeRvWo5W_output.musicxml,143,3244,1420,3142,160,1040,87,62,17,0,0,0,53
Qmc26jWa9kgkgqDrCCSW61sXKmGJ5asWaVPegzpaRT6sFN_output.musicxml,88,1520,760,1466,91,490,49,41,11,6,49,40,54
Qmc2AKdBrNLYyKtBCYcaJKZPZ82cfonWTVkoqbPHSeUGyh_output.musicxml,98,1568,747,1380,107,543,53,29,7,3,48,36,48
Qmc2ihdhQcBbMfTV14iShRF7Gb8jT7WKtXufiCBUprmzWx_output.musicxml,83,1344,515,1463,69,303,45,27,7,3,26,18,32
Qmc3VpCjyoNBqeFGuRQdRxaL85Hid7g1kRJbjapMib3YAq_output.musicxml,137,2728,1395,2584,156,981,85,68,15,11,78,60,56
Qmc5TnGnEdFvEhn18iv674kcRfFbUaJojxjw92aFmyDCK3_output.musicxml,145,2636,1320,2377,178,957,82,66,13,9,120,76,70
