file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmbqzVVkpfAdWegbVA43qqRn5oyE3pXkfuB4hyouZJhwQC_output.musicxml,103,22,43,31,26,80,26,16,3,0,0,0,3
QmbRkUaw2YNChdiWvCL4hbG334EgsJpWLrocNby2VYeiyD_output.musicxml,96,338,177,218,86,206,58,48,4,0,75,10,27
QmbrL3jn6ZcS1UY2L9iKuhzQ5ni15cVTAc3zrSgLX1WtMj_output.musicxml,147,554,321,350,99,275,93,66,7,0,35,4,33
QmbRYiXKhxbQBufoGCd4sz8NWTRSa5QzPg5JVnepvmDx7P_output.musicxml,70,272,105,263,27,74,35,23,5,1,20,4,29
QmbshRar1ZK4ZKJxMHLMaHuuSKVwsb9TUSy2evEdv4sMqM_output.musicxml,172,722,406,541,121,519,78,89,6,8,78,52,34
QmbSoYo7Ermc7sPyqUZaKyHctH1aHTS5w4ijD5tA2TwvYh_output.musicxml,144,818,482,608,154,487,107,91,6,2,118,88,44
QmbTmqfCUCawLTAWjQPbX8jEBNahdp2fdFvHo9Ft72EpKg_output.musicxml,112,762,391,610,119,383,73,64,4,2,155,80,56
QmbtuGqsucaUzPoJR7nfQL9EfBeM6PeJ27wQbncbgoHH84_output.musicxml,100,2600,773,2788,109,495,66,66,19,8,55,28,65
QmbTZBHrR2dB94np83vnxbEQBbCcw7tzDPxzdk9C2AYS2u_output.musicxml,266,1354,545,1624,135,410,135,106,15,10,189,134,54
Qmbu31rSDnwndReghPNC2EBocGeKXZP1qZchns1zp8Xnbh_output.musicxml,738,4896,2743,4206,696,3884,432,285,17,0,131,116,238
QmbUaLd2GQTqw5og7j6HcadYEhbaJ7j4NKcvo41AKo2XP1_output.musicxml,81,374,217,243,77,187,63,59,1,0,55,0,57
QmbuFonxnNBE768HzYfm6KQcgmvcaS2cM5qyaDSYPEUZmL_output.musicxml,114,892,364,822,96,345,86,74,6,1,8,12,30
QmbUSMpkRGgcdh2yvevdvTNeQvq6yuRtCydx5Tzrtvz6Ba_output.musicxml,170,780,357,539,149,354,118,156,5,0,295,168,45
QmbV1D5gzVtd9qxkAne2gC915YP1jRa4c6rFtBXJiopDpp_output.musicxml,244,2772,1169,2683,201,991,128,128,19,7,154,140,91
QmbvAc5HPqQnhgCzUTXgrxkBkr1BLF5hwSaqFEbmZVSaFM_output.musicxml,131,446,220,353,90,257,97,85,6,1,53,4,52
QmbvNdK6ZBumcfVby5A4xLHnFbmk5izT7T63j8CoiEXL7t_output.musicxml,302,144,151,150,108,232,73,59,24,0,8,2,21
QmbvpiesGpZ11Z5E2DVosZhMCUpcHNLjCcRFYmgeKTn38a_output.musicxml,253,1014,630,788,172,927,110,52,13,3,54,28,15
QmbvSAsQz6dNTbMAnwqV4ZLUF6EdjK7aQVakqJnBmNXyD5_output.musicxml,101,358,194,242,93,233,77,63,1,0,88,94,21
QmbwoKunZmGUYhaB63snKUJcd4qkRtWBSp3Cw5Bbshfqaj_output.musicxml,260,130,103,168,60,138,76,50,12,0,0,0,5
